"session","created","modified","ended","expired","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","age","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","gender","specify_N68","specify_N91","specify_N158","specify_N169","feedback"
"4NSfF6WNWymEu0Xq5Yq1uhRI_XpT-7Txs-2GjfOLlTxHKoH9_kY9DwsE0eHALkWe","2019-04-08 17:43:36","2019-04-08 17:44:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDVyovW83lVHvevOruzdIiw6TKiYpzOKu_10G6EF3CZEd6QY_aSRaOTN47QWApcV","2019-04-08 18:06:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gY6dDCbwlR9Zmga62m6b-NvtlKNi8Yk09ApnUQnduPn2iXcw-g6yayhWmm2AuyPd","2019-04-08 18:10:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D37W-vXUj_3ZwcokBTijIBWKGiLQPAHik3QfwwNN4OpPujv2j1ywG2p0X6SSgNGQ","2019-04-08 18:31:06","2019-04-08 18:34:26","","","","6","","","","","5","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disappointed","","","","","Stomach pain","",""
"ITqi_goY7k-IWmwXwolquP45B1IoJzwJMd4wWQ_68sIVLrMuWfW6vtKlbYiwwbbq","2019-04-08 19:19:11","2019-04-08 19:28:59","","","","4","2","2","","3","3","","5","","5","","","","","82","61","","","","","","","","","","","","","","","84","38","","","","","","","","","81","","","","","","","23","","","","","","","","","","","","","","2","he's surprised","","he's expecting something? Like a dog asking for a treat","",""
"LuvRHfg9Sokv9rAhsV83ctpOPn0ws7Aj8Lr3L7RJnNQy8tdCY3wt6N_FzLIeO3Bs","2019-04-08 19:20:49","2019-04-08 19:23:29","","","","","","","2","","","","","","","","","","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","",""
"89xt6_aD-m2tKwLaW-7fmtSiaH4_GxKKR0P7NqI9qukOXx4SkhLafa1IAo5MSSeI","2019-04-08 19:21:11","2019-04-08 19:31:14","2019-04-08 19:31:15","","4","4","2","2","2","3","3","3","5","5","5","6","4","","","81","60","38","","","","","","","","","","","","","","50","23","58","","","","","","72","46","68","","","","","","","19","","","","","","","","","","","","","","1","Confused","Surprised","Surprised","",""
"CgO5D21m0uDqDUicXAjeAuhEUsPgOctz3EZAgEbJr5vdv5OAsDuI2tI-V0Ksa2du","2019-04-08 19:40:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V30-fJ6XIdZi61pdy0KwheoF17xlDma_iLsP-ebml2vNByiKcs1f28Yf4bviixCY","2019-04-08 19:40:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"u6-b8myV5jYDgrbcdGCGWsgTJhwtQ5eSPeFaOui75ZVUA3u8lX0jFJ6rs4WNK1OD","2019-04-08 19:40:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
